WKT,kenyaopendata:Boys Toilets,kenyaopendata:Costituency,kenyaopendata:District,kenyaopendata:Division,kenyaopendata:GOK TSC Female,kenyaopendata:GOK TSC Male,kenyaopendata:Girls Toilets,kenyaopendata:Level of Education,kenyaopendata:Local Authority Female,kenyaopendata:Local Authority Male,kenyaopendata:Location,kenyaopendata:Non-Teaching Staff Female,kenyaopendata:Non-Teaching Staff Male,kenyaopendata:Others Female,kenyaopendata:Others Male,kenyaopendata:PTA BOG Female,kenyaopendata:PTA BOG Male,kenyaopendata:Province,kenyaopendata:Pupil Classroom Ratio,kenyaopendata:Pupil Teacher Ratio,kenyaopendata:Pupil Toilet Ratio,kenyaopendata:School Institution Type_1,kenyaopendata:School Institution Type_2,kenyaopendata:School Institution Type_3,kenyaopendata:Sponsor of School,kenyaopendata:Status of School,kenyaopendata:Teachers Toilets,kenyaopendata:Total Boys,kenyaopendata:Total Enrolment,kenyaopendata:Total Girls,kenyaopendata:Total Number of Classrooms,kenyaopendata:Total Toilets,kenyaopendata:official_name,osm:_timestamp,osm:_user,osm:accessibility,osm:amenity,osm:boundary_type:Ward_boundary,osm:building:levels,osm:building:material,osm:building:roof,osm:contact:address,osm:contact:phone,osm:education:curriculum,osm:education:exam_center,osm:education:extra_drama,osm:education:extra_music,osm:education:extra_scouts,osm:education:extra_sports,osm:education:fees,osm:education:gender_type,osm:education:government_registered,osm:education:management_committee,osm:education:program_counselling,osm:education:program_feeding,osm:education:program_sanitary_towel,osm:education:pta,osm:education:students,osm:education:teachers,osm:education:teachers_female,osm:education:teachers_male,osm:education:teachers_trained,osm:education:tsc_employed,osm:education:type,osm:electricity:operational_status,osm:id,osm:image:classroom,osm:image:compound,osm:image:other,osm:image:outside,osm:is_in:constituency,osm:is_in:estate,osm:is_in:ward,osm:location,osm:name,osm:official_name,osm:operational_status:electricity,osm:operator:name,osm:operator:type,osm:place:village,osm:toilet:present,osm:contact:email,osm:education:fees_level4,osm:education:fees_level5,osm:education:program_orphans,osm:education:student_age_range,osm:education:students_female,osm:education:students_male,osm:opening_hours,osm:education:boarding,osm:education:fees_level1,osm:education:fees_level2,osm:education:fees_level3,osm:education:program_counseling,osm:education:program_other,osm:education:program_special_needs,osm:education:program_sports,osm:education:staff_female,osm:education:staff_male,osm:media:video_device_number,osm:media:video_number,osm:operational_status,osm:education:fees_optional,osm:education:school_head,osm:image,osm:is_in:village,osm:operator:description,osm:education:description,osm:education:fees_sponsored,osm:source,osm:education:exam_affiliate,osm:education:teachers_untrained,kenyaopendata:Acreage,kenyaopendata:Acreage per enrolment,kenyaopendata:Code,kenyaopendata:Day or Boarding,kenyaopendata:Girls/Boys/Mixed,kenyaopendata:Local Authority Female Teachers,kenyaopendata:Local Authority Male Teachers,kenyaopendata:Non Teaching Staff Female,kenyaopendata:Non Teaching Staff Male,kenyaopendata:Ordinary or Special,kenyaopendata:Other Female Teachers,kenyaopendata:Other Male Teachers,kenyaopendata:PTA Board of Governors Female Teacher,kenyaopendata:PTA Board of Governors Male Teacher,kenyaopendata:Public or Private,kenyaopendata:School Address,kenyaopendata:School Sponsor,kenyaopendata:School Zone,kenyaopendata:Sublocation,kenyaopendata:TSC Female Teachers,kenyaopendata:TSC Male Teachers,kenyaopendata:Total Enrolment 2007,kenyaopendata:Total Teaching staff,osm:education:fees_level6,osm:media:camera_device_number,osm:media:camera_number,osm:education:program_scouting,osm:education:program_description,osm:education:extra_other,osm:education:student_female,osm:education:student_male,osm:education:program_computers,osm:description,osm:station:type_description,osm:education:teachers_tsc,osm:designation,osm:security:gbv_support,osm:toilet:arranged_name,osm:education:program_specialneeds,osm:boundary_type:Constituency_boundary,osm:registered_voters,osm:building,osm:fee,osm:education:committees,osm:health_facility:referals,osm:medical_service:psychosocial_support_counselling,osm:medical_staff:counsellor,osm:medical_staff:description,osm:note,osm:contact:website,osm:addr:postcode,osm:website,osm:education:accessibility,osm:education:management_commitee,osm:education:program_WASH,osm:education:program_handwashing,osm:education:program_rain,osm:education:student_disable,osm:safe_place:acessible,osm:safe_place:compound,osm:safe_place:protected/secure,osm:safe_place:school,osm:security:description,osm:social_facility
"MULTIPOINT ((36.7786354 -1.3147704))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/10/12,muindre,big_vehicles,school,,0,ironsheets,ironsheets,"P.O BOX 12178-00100, Nairobi",0726392094,8_4_4,yes,yes,yes,yes,yes,"18,500",mixed,moe,yes,yes,4500 P.A,,yes,39,7,0,7,3,1,secondary,always,node/2932284092,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/MOC%20School/class%201.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Nairobi%20Day%20High%20School/compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Nairobi%20Day%20High%20School/sign%20post.JPG,,,,kibera,Nairobi West High School,,,,private,Olympic,yes,nairobiwesthighschool@gmail.com,,,,,22,17,,,,,,,,,,,,,,,4500 P.A feeding,Samwel Nyabayo,,,Samwel Nyabayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7772552 -1.3123681))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/10/12,muindre,big_vehicles,school,,0,ironsheets,ironsheets,"P 0 Box 3827-00100, Nairobi",0707839454,8_4_4,no,,,yes,yes,,mixed,mgcsd,yes,,fees,,yes,95,3,3,,3,0,pre_primary,always,node/2932284094,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Red%20Rose%20Nursery%20School%20And%20Children%20Center/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Red%20Rose%20Nursery%20School%20And%20Children%20Center/compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Red%20Rose%20Nursery%20School%20And%20Children%20Center/gate.JPG,,,,kibera,Redrose Children Centre,,,John Paul,cbo,Olympic,yes,redrosechildren@gmail.com,,,,,47,48,,,18900,18900,18900,,,,,,,,,,,John Paul,,,Run by an individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7729563 -1.3105544))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/10/12,muindre,foot,school,,1,ironsheets,ironsheets,"P O Box 8361-00100, Nairobi",0723464217/0720352237,8_4_4,no,no,yes,no,yes,5850,mixed,moe,yes,no,fees,,yes,34,2,2,0,2,0,pre_primary,sometimes,node/2932284095,https://lh4.googleusercontent.com/-fzyxOjGcjHg/VSvM-aE_NrI/AAAAAAAAD8A/f_n2IO_CM4s/w758-h569-no/IMG_0169.JPG,https://lh5.googleusercontent.com/-z_5IU2fCFqc/VSvM8fXKk7I/AAAAAAAAD70/U_F2FpYr2KY/w427-h569-no/IMG_0166.JPG,,https://lh4.googleusercontent.com/-vuQaR1rmPzg/VSvNAz7d0kI/AAAAAAAAD8I/iJicfuSh-54/w758-h569-no/IMG_0172.JPG,,,,kibera,Chema Vision Children Centre,,,,cbo,Kianda,yes,chema.vision@yahoo.com,,,,,14,20,,,,,,,,,,,,,,,,Joseph Cheruiyot,,,Joseph Cheruiyot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7729011 -1.3105788))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/10/12,muindre,foot,school,,1,ironsheets,ironsheets,"P O Box 8361-00100, Nairobi",0723464217/0720352237,8_4_4,yes,yes,yes,,yes,6750,mixed,moe,yes,yes,yes,,yes,144,10,6,4,6,0,primary,never,node/2932284096,https://lh4.googleusercontent.com/-N9utc4brVCY/VSvM9HLp8OI/AAAAAAAAD74/qjOKcPOWpLc/w758-h569-no/IMG_0162.JPG,https://lh5.googleusercontent.com/-z_5IU2fCFqc/VSvM8fXKk7I/AAAAAAAAD70/U_F2FpYr2KY/w427-h569-no/IMG_0166.JPG,,https://lh4.googleusercontent.com/-vuQaR1rmPzg/VSvNAz7d0kI/AAAAAAAAD8I/iJicfuSh-54/w758-h569-no/IMG_0172.JPG,,,,kibera,Chema Vision Children Centre,,,,cbo,Kianda,outside_public,chema.vision@yahoo.com,,,,,83,61,,,,,,,,yes,,,,,,,,Joseph Cheruiyot,,,Joseph Cheruiyot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7809531 -1.3167512))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/01/03,JamesLC,foot,school,,,cement_block,ironsheets,21377-00505,0725699948,8_4_4,,,,,,1800,mixed,mgcsd,yes,,,,,24,1,1,,,,pre_primary,always,node/2935256787,,,,,,,,kibera,Baptist Rescue Centre,,,Baptist Church,religious,Gatwekera,arranged,janeawinja@yahoo.com,,,,,13,11,,,600 per term,600 per term,600 per term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plot toilet,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.782242 -1.3158091))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/01/03,JamesLC,foot,school,,1,ironsheets,ironsheets,P.O Box 1051-00200,026434010,8_4_4,no,yes,yes,,yes,2700,mixed,mgcsd,yes,,yes,,,54,2,2,,,,pre_primary,never,node/2935256790,,,,,,,,kibera,Guum CBO Nursery School,,,Guum CBO,cbo,Gatwekera,yes,adhiambonyagol@gmail.com,,,,,27,27,,,2700,2700,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7891021 -1.3137722))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/01/03,JamesLC,foot,school,,,mud,ironsheets,P.O Box 47347,0713716588,8_4_4,,,,,,3600,mixed,,,,yes,,,82,3,3,,,,pre_primary,often,node/2935256792,,,,,,,,kibera,Kisumu Ndogo Nursery School,,,Kisumu Ndogo CBO,cbo,Kisumu Ndogo,yes,,,,,,42,40,,,1200 per term,1200 per term,1200 per term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7818908 -1.316194))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/01/03,JamesLC,foot,school,,1,ironsheets,ironsheets,P.Box 10753-00400,0788506171,8_4_4,,yes,yes,,yes,2700,mixed,mgcsd,yes,,yes,,,53,2,2,,,,pre_primary,often,node/2935256797,,,,,,,,kibera,Seed School Kibera,,,Seed Foundation,ngo,Gatwekera,yes,aoukip@gmail.com,,,,,27,26,,,900 per term,900 per term,900 per term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7843628 -1.3130037))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/01/03,JamesLC,big_vehicles,school,,,ironsheets,ironsheets,,0706047686/ 0725458014,8_4_4,,,,,,"4,500",mixed,,yes,,,,,18,1,1,,,,pre_primary,often,node/2935256798,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/St.%20Mark%20School/class.JPG,,,,,,,kibera,St Mark Centre,,,,private,Gatwekera,arranged,,,,,,7,11,,,"1,500 per term","1,500 per term","1,500 per term",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pee poo,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7861306 -1.314932))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/01/03,JamesLC,big_vehicles,school,,,ironsheets,ironsheets,P.O BOx 14381-00100,0720207880,8_4_4,,,,,,4500,mixed,mgcsd,yes,,,,,14,1,1,,,,primary,often,node/2935256799,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/St.%20Ann%20Children%20Center/class.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/St.%20Ann%20Children%20Center/name.JPG,,,,,kibera,St Anne Children Centre,,,St Anne Children Centre,cbo,Gatwekera,arranged,judith.katile@yahoo.com,1500,,,,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pee poo,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7918809 -1.3099748))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014/08/25,Blasio,foot,school,,1,ironsheets,ironsheets,,0722654544,8_4_4,,yes,yes,yes,yes,4500,mixed,mgcsd,yes,yes,fees,yes,yes,270,,,,,,primary,often,node/2935262132,,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Fafu%20Educational%20Center/building.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Fafu%20Educational%20Center/back.JPG,,,,kibera,Facing The Future Educational Centre,,,Facing The Future,cbo,Mashimoni,yes,simeonajijo@gmail.com,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7918962 -1.3096989))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/01/03,JamesLC,foot,school,,0,mud,ironsheets,,0710737249,8_4_4,,,,,,2700,mixed,mgcsd,,,no,,,40,2,2,0,1,,pre_primary,often,node/2935262133,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Happy%20Kids%20Center/kids%202.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Happy%20Kids%20Center/kids.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Happy%20Kids%20Center/building.JPG,,,,kibera,Happy Kids ECD,,,Loice,private,Mashimoni,yes,,,,,,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7915703 -1.3095962),(36.790792 -1.307029))",2,LANGATA,NAIROBI,KIBERA,0,0,2,PRIMARY SCHOOL,0,0,LAINI SABA,2,1,5,2,0,0,NAIROBI,33.3,14.3,25,MIXED,DAY ONLY,ORDINARY,RELIGIOUS ORGANIZATION,PRIVATE,2,51,100,49,3,0,MASHIMONI FRIENDS PRI. SCH,2015/01/03,JamesLC,foot,school,,ground,mud,ironsheets,"P O Box 5498 -00200, Nairobi",0716062326,8_4_4,,,,,,900,mixed,mgcsd,,yes,no,,no,57,2,2,0,2,,pre_primary,never,node/2935262134,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Mashimoni%20Friends%20School/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Mashimoni%20Friends%20School/building.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Mashimoni%20Friends%20School/compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Mashimoni%20Friends%20School/gate.JPG,,,,kibera,Mashimoni Friends ECD,MASHIMONI FRIENDS PRI. SCH,,Lilian Agine,private,Mashimoni,yes,,,,,,33,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7929766 -1.3117022),(36.792088 -1.309019))",1,LANGATA,NAIROBI,KIBERA,0,0,1,PRIMARY SCHOOL,0,0,LAINI SABA,3,3,0,0,3,2,NAIROBI,13.3,10.6,26.5,MIXED,DAY ONLY,ORDINARY,RELIGIOUS ORGANIZATION,PRIVATE,1,0,53,0,4,0,HOPE RESTORATION PRI SCH,2015/01/03,JamesLC,small_cars,school,,1,ironsheets,ironsheets,"P O Box 48905 - 00100, Nairobi",0721176444,8_4_4,,,yes,,yes,3600,mixed,mgcsd,yes,yes,fees,yes,yes,159,8,3,5,3,,primary,sometimes,node/2935485237,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Hope%20Restoration%20Center/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Hope%20Restoration%20Center/building.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Hope%20Restoration%20Center/class%202.JPG,,,,,kibera,Hope Restoration Centre Kenya,HOPE RESTORATION PRI SCH,,Hope Restoration Centre Kenya,religious,Mashimoni,yes,hoperescentre@gmail.com,,,,,75,87,,,,,,,,,,,,,,,,,,,,,,,Hoyik Educational centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7930846 -1.3118847),(36.792273 -1.309352))",,LANGATA,KIBERA,,,,,,,,LAINI SABA,,,,,,,NAIROBI,,13.0,,,,,,,,,,,,,JOHN PAUL MIXED SEC SCH,2015/01/03,JamesLC,small_cars,school,,1,wood,ironsheets,"P O Box 21188 -00509, Nairobi",0712962883,8_4_4,yes,,,,,23800,mixed,moe,yes,yes,fees,yes,yes,138,10,4,6,5,,secondary,often,node/2935485238,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/John%20Paul%20II%20Mixed%20Secondary%20School/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/John%20Paul%20II%20Mixed%20Secondary%20School/compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/John%20Paul%20II%20Mixed%20Secondary%20School/building%202.JPG,,,,,kibera,John Paul II Secondary School,JOHN PAUL MIXED SEC SCH,,Catholic Church Kibera Laini Saba,religious,Mashimoni,yes,,,,,,66,72,,,,,,,,,,,,,,,,,,,,,,,,,0,,R1010370,,MIXED,0,0,1,2,ORDINARY,5,5,0,0,PRIVATE,21188-00505,RELIGIOUS ORGANIZATION,KAREN,LAINI SABA,0,0,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7909721 -1.3102358))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/01/03,JamesLC,foot,school,,ground,ironsheets,ironsheets,"P O Box 19550 -00202, Nairobi",0724035619,8_4_4,,,,,,,mixed,mgcsd,yes,,fees,,,97,5,5,0,5,,pre_primary,often,node/2941807997,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Kibera%20Pefa%20Academy/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Kibera%20Pefa%20Academy/compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Kibera%20Pefa%20Academy/teacher.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Kibera%20Pefa%20Academy/sign%20post.JPG,,,,kibera,All Nations PEFA Academy,,,All Nations PEFA,religious,Mashimoni,yes,,7200,,,,54,43,,,6300,6300,6300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7910664 -1.3110697))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/01/03,JamesLC,big_vehicles,school,,0,mud,ironsheets,"P O Box 52 - 0507, Nairobi",0722489177,8_4_4,,,,,,,mixed,mgcsd,yes,,other,,yes,245,8,7,1,3,,primary,often,node/2941807998,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Cheery%20Education%20Center/class.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Cheery%20Education%20Center/teacher.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Cheery%20Education%20Center/gate%201.JPG,,,,kibera,Cherry Children Education Centre,,,Cherry Children Education Centre,ngo,Mashimoni,yes,info@cherrycentre.org,4500,,,,141,104,,,5400,5400,5400,,,,,,,,,,"trip:500, graduation:300,exam:100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7912879 -1.3097697))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/01/03,JamesLC,foot,school,,2,cement_block,ironsheets,,0721313848,8_4_4,,,,,,,mixed,mgcsd,,,no,,,20,2,2,0,2,,pre_primary,often,node/2941807999,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Mashimoni%20Children%20Center/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Mashimoni%20Children%20Center/sign%20post.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Mashimoni%20Children%20Center/building.JPG,,,,,kibera,Mashoni Children Centre,,,Mashoni Children Centre,cbo,Mashimoni,yes,,,,,,12,8,,,1500,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7903039 -1.3106177))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014/08/08,Blasio,foot,school,,ground,mud,ironsheets,"P O Box 2355 - 00202, Nairobi",0724759396,8_4_4,,,,,,5850,mixed,mgcsd,yes,,yes,,yes,81,5,3,2,0,,primary,never,node/2941808000,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Transform%20Hope%20Center%20Primary%20School/class%202.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Transform%20Hope%20Center%20Pre%20School/building.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Transform%20Hope%20Center%20Pre%20School/kids.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Transform%20Hope%20Center%20Primary%20School/building.JPG,,,,kibera,Tranform Center,,never,Patrick Ambasa,private,Mashimoni,no,transformfaithhope@gmail.com,,,yes,3-9yrs,38,32,Mo-Fr 08:30-15:30,,,,,yes,,,,1,1,8,1,operational,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7786981 -1.3146538))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/10/12,muindre,big_vehicles,school,,0,cement_block,asbestos,"P O Box 8916-00100, Nairobi",0728451723,8_4_4,,,,yes,yes,,mixed,yes,yes,,fees,,yes,10,1,1,0,1,0,pre_primary,sometimes,node/2950176593,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Kids%20Zone%20School/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Kids%20Zone%20School/compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Kids%20Zone%20School/gate.JPG,,,,kibera,Kids Zone School,,,Naomi Owino,private,Olympic,yes,kidszone2008@yahoo.com,,,,,5,5,,,6000,6000,4500,,,,,,,,,,"Trip,2100",Naomi Owino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
